"date","geography","geography code","Rural Urban","Dwelling Type: All categories: Accommodation type; measures: Value","Dwelling Type: Unshared dwelling: Total; measures: Value","Dwelling Type: Unshared dwelling: Whole house or bungalow: Total; measures: Value","Dwelling Type: Unshared dwelling: Whole house or bungalow: Detached; measures: Value","Dwelling Type: Unshared dwelling: Whole house or bungalow: Semi-detached; measures: Value","Dwelling Type: Unshared dwelling: Whole house or bungalow: Terraced (including end-terrace); measures: Value","Dwelling Type: Unshared dwelling: Flat, maisonette or apartment: Total; measures: Value","Dwelling Type: Unshared dwelling: Flat, maisonette or apartment: Purpose-built block of flats or tenement; measures: Value","Dwelling Type: Unshared dwelling: Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits); measures: Value","Dwelling Type: Unshared dwelling: Flat, maisonette or apartment: In commercial building; measures: Value","Dwelling Type: Unshared dwelling: Caravan or other mobile or temporary structure; measures: Value","Dwelling Type: Shared dwelling; measures: Value"
"2011","E00004391","E00004391","Total",128,124,55,3,1,51,69,5,64,0,0,4
"2011","E00004396","E00004396","Total",131,125,11,3,5,3,114,89,25,0,0,6
"2011","E00004398","E00004398","Total",99,93,8,0,0,8,85,47,38,0,0,6
"2011","E00004367","E00004367","Total",148,145,1,0,0,1,144,141,3,0,0,3
"2011","E00004368","E00004368","Total",175,167,38,2,31,5,129,50,79,0,0,8
"2011","E00004372","E00004372","Total",109,109,17,0,3,14,92,91,1,0,0,0
"2011","E00004375","E00004375","Total",119,114,28,4,7,17,86,35,51,0,0,5
"2011","E00004378","E00004378","Total",137,137,37,3,9,25,100,28,68,4,0,0
"2011","E00004379","E00004379","Total",135,133,23,1,13,9,110,28,82,0,0,2
"2011","E00004441","E00004441","Total",115,115,52,3,3,46,63,4,58,1,0,0
"2011","E00004447","E00004447","Total",77,77,5,3,1,1,72,57,15,0,0,0
"2011","E00004451","E00004451","Total",118,114,17,0,4,13,97,59,38,0,0,4
"2011","E00004452","E00004452","Total",143,143,21,1,12,8,122,47,72,3,0,0
"2011","E00004457","E00004457","Total",117,117,31,2,11,18,86,16,70,0,0,0
"2011","E00004480","E00004480","Total",116,116,19,0,3,16,97,34,57,6,0,0
"2011","E00004362","E00004362","Total",127,127,22,2,4,16,105,103,1,1,0,0
"2011","E00004370","E00004370","Total",117,117,45,7,9,29,72,69,2,1,0,0
"2011","E00004376","E00004376","Total",176,174,60,6,9,45,114,81,31,2,0,2
"2011","E00004397","E00004397","Total",106,106,27,2,11,14,79,77,1,1,0,0
"2011","E00004399","E00004399","Total",131,131,7,1,1,5,124,122,2,0,0,0
"2011","E00004363","E00004363","Total",153,151,1,0,0,1,150,149,1,0,0,2
"2011","E00004366","E00004366","Total",165,162,2,1,0,1,160,159,1,0,0,3
"2011","E00004369","E00004369","Total",123,123,3,0,1,2,120,115,5,0,0,0
"2011","E00004373","E00004373","Total",146,145,0,0,0,0,145,143,0,2,0,1
"2011","E00004400","E00004400","Total",180,169,2,0,0,2,167,167,0,0,0,11
"2011","E00004364","E00004364","Total",225,220,20,4,3,13,200,162,38,0,0,5
"2011","E00004371","E00004371","Total",103,103,0,0,0,0,103,101,2,0,0,0
"2011","E00004374","E00004374","Total",97,97,1,1,0,0,96,94,2,0,0,0
"2011","E00004377","E00004377","Total",95,95,0,0,0,0,95,93,2,0,0,0
"2011","E00004380","E00004380","Total",152,152,8,0,0,8,144,121,12,11,0,0
"2011","E00004444","E00004444","Total",160,150,5,1,4,0,145,139,2,4,0,10
"2011","E00004445","E00004445","Total",105,101,21,0,1,20,80,33,32,15,0,4
"2011","E00004454","E00004454","Total",189,186,5,0,1,4,181,166,15,0,0,3
"2011","E00004456","E00004456","Total",124,124,2,0,0,2,122,122,0,0,0,0
"2011","E00174669","E00174669","Total",125,121,2,0,0,2,119,116,3,0,0,4
"2011","E00004563","E00004563","Total",195,195,47,7,10,30,147,121,20,6,1,0
"2011","E00004566","E00004566","Total",140,138,12,0,6,6,126,20,106,0,0,2
"2011","E00004568","E00004568","Total",157,154,18,1,4,13,136,93,15,28,0,3
"2011","E00004569","E00004569","Total",161,156,69,0,4,65,87,30,48,9,0,5
"2011","E00004570","E00004570","Total",131,131,89,3,14,72,42,12,30,0,0,0
"2011","E00004571","E00004571","Total",151,148,49,1,4,44,99,18,73,8,0,3
"2011","E00004572","E00004572","Total",160,160,0,0,0,0,160,124,26,10,0,0
"2011","E00004573","E00004573","Total",149,147,77,4,4,69,69,40,20,9,1,2
"2011","E00004574","E00004574","Total",143,143,72,1,7,64,71,17,54,0,0,0
"2011","E00004321","E00004321","Total",114,114,19,8,8,3,95,20,72,3,0,0
"2011","E00004326","E00004326","Total",117,96,4,3,1,0,92,58,34,0,0,21
"2011","E00004331","E00004331","Total",112,110,13,4,6,3,97,43,54,0,0,2
"2011","E00004336","E00004336","Total",175,172,4,0,4,0,168,94,56,18,0,3
"2011","E00004337","E00004337","Total",114,114,10,8,1,1,104,51,51,2,0,0
"2011","E00004320","E00004320","Total",112,112,43,14,9,20,69,9,58,2,0,0
"2011","E00004333","E00004333","Total",133,125,32,0,0,32,93,29,61,3,0,8
"2011","E00004335","E00004335","Total",145,128,60,4,17,39,68,18,30,20,0,17
"2011","E00004338","E00004338","Total",112,112,11,6,3,2,101,24,77,0,0,0
"2011","E00004341","E00004341","Total",132,87,3,0,2,1,84,10,74,0,0,45
"2011","E00004342","E00004342","Total",94,92,4,3,1,0,88,28,59,1,0,2
"2011","E00004332","E00004332","Total",87,77,3,0,3,0,74,20,52,2,0,10
"2011","E00004334","E00004334","Total",106,93,5,4,0,1,88,22,66,0,0,13
"2011","E00004339","E00004339","Total",112,112,7,3,1,3,105,76,24,5,0,0
"2011","E00004340","E00004340","Total",95,88,3,2,1,0,85,68,12,5,0,7
"2011","E00004343","E00004343","Total",120,116,5,1,4,0,111,43,67,1,0,4
"2011","E00004344","E00004344","Total",118,113,6,1,2,3,107,84,15,8,0,5
"2011","E00004431","E00004431","Total",106,106,29,4,17,8,77,22,55,0,0,0
"2011","E00004432","E00004432","Total",135,132,19,1,14,4,113,20,89,4,0,3
"2011","E00004433","E00004433","Total",139,139,18,6,11,1,121,34,86,1,0,0
"2011","E00004437","E00004437","Total",116,94,18,7,10,1,76,26,49,1,0,22
"2011","E00004439","E00004439","Total",113,113,12,4,6,2,101,53,48,0,0,0
"2011","E00004440","E00004440","Total",112,112,17,1,5,11,95,40,55,0,0,0
"2011","E00004435","E00004435","Total",119,119,13,0,5,8,106,82,23,1,0,0
"2011","E00004436","E00004436","Total",166,137,50,18,23,9,87,37,47,3,0,29
"2011","E00004438","E00004438","Total",118,95,6,0,6,0,89,59,26,4,0,23
"2011","E00174668","E00174668","Total",108,108,53,4,5,44,55,53,2,0,0,0
"2011","E00174670","E00174670","Total",107,107,0,0,0,0,107,101,5,1,0,0
"2011","E00174672","E00174672","Total",141,134,1,0,0,1,133,133,0,0,0,7
"2011","E00174673","E00174673","Total",91,91,0,0,0,0,91,87,3,1,0,0
"2011","E00004245","E00004245","Total",163,160,21,5,15,1,139,31,108,0,0,3
"2011","E00004247","E00004247","Total",156,152,34,2,17,15,118,66,50,2,0,4
"2011","E00004248","E00004248","Total",207,207,32,2,4,26,175,144,19,12,0,0
"2011","E00004254","E00004254","Total",119,119,5,0,2,3,114,92,22,0,0,0
"2011","E00004273","E00004273","Total",159,154,57,2,29,26,97,31,52,14,0,5
"2011","E00004276","E00004276","Total",122,122,13,2,5,6,109,20,89,0,0,0
"2011","E00004265","E00004265","Total",112,112,6,0,4,2,106,29,70,7,0,0
"2011","E00004266","E00004266","Total",156,156,7,0,4,3,149,24,125,0,0,0
"2011","E00004268","E00004268","Total",142,142,17,3,3,11,125,23,102,0,0,0
"2011","E00004269","E00004269","Total",121,121,10,0,2,8,111,28,75,8,0,0
"2011","E00004272","E00004272","Total",113,113,57,2,43,12,56,15,41,0,0,0
"2011","E00004274","E00004274","Total",130,130,28,1,13,14,102,16,86,0,0,0
"2011","E00004585","E00004585","Total",134,134,12,0,4,8,122,11,110,1,0,0
"2011","E00004586","E00004586","Total",116,109,30,1,8,21,79,8,71,0,0,7
"2011","E00004588","E00004588","Total",154,147,33,2,5,26,114,23,89,2,0,7
"2011","E00004594","E00004594","Total",124,124,8,1,0,7,114,32,82,0,2,0
"2011","E00004598","E00004598","Total",106,100,16,1,2,13,84,32,52,0,0,6
"2011","E00004599","E00004599","Total",161,161,39,6,7,26,122,54,68,0,0,0
"2011","E00004565","E00004565","Total",145,140,1,0,0,1,139,135,4,0,0,5
"2011","E00004591","E00004591","Total",112,93,12,1,4,7,81,61,20,0,0,19
"2011","E00004600","E00004600","Total",124,124,3,0,3,0,121,114,5,2,0,0
